,review,polaritas
21,stayed night part tour staff friendly hotel ground great hotel lakefront room clean heap character bed large comfortable bathroom good however shub shower curtin meant needed creative avoid flooding bathroom also provided hairdryer plug bathroom use would also benefit provided basic tea coffee sugar set provided cup kettle nothing else ate restaurant food average service also slow small change place could real gem,0
22,resort nice clean operated western really get feeling like staying sumatra kind isolated friendly staff also offer many extra service,1
23,good choice weekeend family friend miss home feel like home stay nice garden friendly clean room gozy place ask trip around samasir island,1
24,found paradise called toba cottage room beautiful decorated traditional style terrace overlooking garden swimming pool lake toba surrounding mountain food good breakfast lunch dinner dont forget try german pastry nice cup coffee morning staff nice helped u good tip thing see island helped u lot organizing next leap trip wish could stayed longer,1
25,really lovely time work trip annette brilliant host location perfect right edge lake toba beautiful garden pool stunning view room great basic small problem ant sorted quickly decent wifi throughout also great fresh food plenty choice pastry cake delicious,1
26,really lovely hotel shore lake toba beautiful ground spacious bright room terrace front others balcony looking lake restaurant wide variety local western option one night band playing local song cover great traditional style hotel great place start trip sumatra,1
27,room okbut could cleaner new painting wall needed well fridge room loudso unplug sleeping lake really nicebut pitty used allyou cannot activity lake breakfast goodif want get kind german bread also sell cake discovery tour really gooda driver showed u island wood carving get awesome would recommend massageit really good cheap,0
28,tabo cottage decent place stay unfortunately annoying thing firstly always dog poo lying around garden secondly enough deck chair thirdly animal chicken etc loud quite early morning sort live music going every night next door annoying since peace quiet despite guest tabo cottage room noise definitely come hotel upside breakfast good along reasonably priced menu vegetarian huge choice great also view pool nice would come back would demand different room,1
29,weekend visited beautiful breathtaking samosir island regarding accommodation always fear milddewy moisty smell found many natural resort first toba cottage tastefully done resort lot batak design element perfect place unwind peace fresh air add zen feel room clean smell moisture part property went linen smelt fresh hygiene cleanliness star face lake property many entertainment corner sit back enjoy lake air highly recommend,1
30,stayed night month trip around several indonesian island exhausting time trekking jungle bukit lawang climbing sibayak volcano quiet island little traffic proved perfect unwinding recharging battery location stunning bank lake toba local village tuk tuk quiet plenty good restaurant ate incredible fresh lake fish loved walking around tuk tuk peninsular chatting local reason low rating batak style room novel experience stay beautiful looking unusual room large lovely balcony partial lake view mezanine bedroom floor wed needed however novelty wore due,0
31,stayed junior suite concept room batakstyle bed couch comfy bathroom outdoor feel breakfast included location beautiful overlooking lake toba trip abit rush dint get explore swimming pool overall enjoyed stay,1
32,cottage really offer real batakness long time ago telephone ac architecture batak villa amazed originally type room pax however asking get extra bed person fulfill tabo cottage quite popular therefore book villa room advance ensure missed life music every saturday also provide private package tour easy access wonderful service great atmosphere thinking one trip samosir wish stay tabo cottage mauliate,1
33,upon arrival bukit lawang recommendation rock greeted manager think name alfonso apology wrong helpful showed standard room instantly got bitten mosquito realised window broken could closed whilst waiting someone fix noticed stain blanket also asked new one manager came room instead fixing problem offered u stay deluxe room free charge free upgrade unexpected welcome considering initial disappointment breakfast fantastic although busy weekend coffee delicious sample cake food,1
34,really enjoyed visit pretty hotel wonderful lake view staff extremely nice friendly room furnished good standard junior suite would enjoyed staying longer night thing let littlethey vegan offering menu came low season breakfast little offer however staff knew vegan happy prepare rice without egg breakfast even went got soy milk coffee would definitely stay hotel good value money,1
35,spending day partner hotel ecotravel cottage bukit lawang fanstastic tabo cottage doesnt quite match high expectation based former review room spacious clean location lakeside offer nice view easily reached parapat reception staff friendly unfortunately whole place lack personal note nice atmosphere regard design staff staff except reception rather distant well trained breakfast buffet come along many insect fruit plate german owner annette doesnt put much effort making feel welcome rather spends time attending seemingly frequent guest without taking notice guest regard room,0
36,although first standard room ok great shower right driveway parking lotnoisy fume car alarm going switched room extra per night deluxe room ok bathroom huge build shower wasnt installed instead shower hose hanging foot open tub hand held avoid getting flood floor disappointing food great service slow time laundry service good hair dryer available request credit card accepted,0
37,wife fantastic time tabo cottage arrived someahemdigestive issue perfect place rest recover beautiful pool garden ideal place kickback relax quiet clean pretty food excellent great value especially chance get great german bread stayed day scratched surface broad diverse menu room felt authentic batik though air conditioning would tolerable betrayal tradition instead somewhat ineffective fan thanks much hope come back,1
38,stayed deluxe room idr four night room room maisonette affair separted bathroom toilet downstairs double bed steep flight stair upstairs gallery beautifully appointed rough hardwood floor view war torwards village though think deluxe room face toward pool lake slightly annoying thing shower curtain spacious bathroom flooded lot ground beautifully kept large property cheaper room back expensive junior suite etc facing pool area lake easily swim lake kilometer across bay tomok one way good fun exercise,1
39,lovely sight greeted u arrived thrilled wellmanicured lawn inspiring lake nice cozy cafe welcoming staff everything good till opened door room jaw dropped warm raggedy fan run toilet small bottle toiletry unsightly metal sink sat one end big icy room kettle fridge tv hair dryer cup glass coffee tea zilch nothing felt like abandoned room lot insect sad breakfast bare minimum swimming pool nice dirty,0
40,staff friendly relaxing resort basic amenity provided simple breakfast provided passenger ferry stop infront resort fyi toothbrush hair dryer provided water refill avaiable lobby small cost,1
41,clean laundry service good massage upgrade shower wasnt working excellent location close lake ferry station directly front pool breakfast noodle rice overcooked clock buffet really refilled shower taking shower bathroom floor get totally wet stuff appeared lazy lack service understanding pool water dirty mosquito net available doesnt fit bed,0
42,lakeside cottage owned german family good maintenance clean neat breakfast good good coffee stall nice place dinner also swim lake easy go anywhere around local food stall,1
43,one wellrun resort lake toba clean convenient staff friendly also offer day tour could help get transit anywhere lake samosir even medan swimming pool onsite also swim lake inhouse bakery bakes delicious cake bread daily also get samosirgrown coffee roasted resort,1
44,stayed october loved back however second stay different would love give star service provided beginning lousy checkin mess came two couple one room terrible twin bed complained room changed normal one however fact tried put u bad room cheecky unprofessional many small thing made stay uncomfortable dont know unlucky something normal also lunch made u wait minute bring drink one hour food completely unacceptable sorry dont think come back,0
45,stayed night mom friend room affordable clean love interior bathroom make feel like im touch nature breakfast served normal food like pancake waffle omelette toast although order extra food menu love waffle ate time scenery nice overlooking lake toba ncie breeze also pool traditional batak house also swim lake youd like chair nearby sit looking scenery there also place sit bonfire never seen lit though,1
46,taboo cottage located edge lake tabo samosir island given room nd level attic really cool food good reasonably priced ground pretty bit water logged there quite bit mosquito plant lemon grass pandan plant ward mosquito,1
47,cottage couldnt occupy better position edge lake tabo samosir island large room plenty room sit wish staff friendly helpful fridge room containing sprite cola water beer similar price shop outside would come,1
48,although one could guess whats hidden behind entrance nice hotel located lake side breakfast delicious room clean spacy hotel beatiful garden different place sit relax nice swimming pool one also swim lake dinner okay,1
49,stayed day delightful breakfast good whole place relaxing lake cottage relax enjoy magnificent view lake didnt feel like lake strange feeling island cottage interesting place stay wouldnt recommend anywhere else place great atmosphere,1
50,stayed night delightful place shore lake toba cottage located around garden area swimming pool spacious open room comfortable large partly open bathroom good mattress clean bed excellent breakfast lot choice breadpastries german bakery restaurant food service also first rate saturday night live musicbatak singing extra bonus batak house lake peaceful site reflection view lakemountains good location explore samosir,1
51,good wifi helpful staff good food choice reasonable price warm welcome lakeside location beautiful good base u explore samosir island pool didnt get chance use mosquito net would realistic improvement,1
52,stayed night really enjoyed stay lovely location nice walk hotel room seem good view food good plenty variety even beer expensive k plus tax tried massage service reasonable staff friendly helpful wife birthday sung gave cake well happy,1
53,stayed friend long day roadtripping medan bit lost boat arrived samosir island sign direct u tabo cottage rented bike found way asking direction helpful local deserving hour massage satisfying dinner tabo cottage checking awe view balcony seen photo,1
54,tabo cottage wonderful weekend getaway food phenomenal bread butter tabo chef salad staff warm welcoming ever helpful hope back soon,1
55,overview couple travelling week week sumatra arrival pretty long journey berastagi ferry well however worth lovely welcome nice drink great atmosphere shown room room nice overlooking garden spacious clean good bathroom lot hot water comfortable large bed food breakfast good egg station nice bread dinner good two vegetarian tip book table seem get busy large group outside happened night stayed outside area absolutely lovely clean tidy great pool area nice place look lake sun went within easy walking town seem quiet,1
56,great place stay nothing explore view pool amazing staff accommodating food great resonably priced great restaurant within walking small drive beer cold,1
57,best place stay tuktuk local culture blended modern amenity impressive batak themed room house bakery coffee roasting internet spotty hub local tourism,1
58,nice quite hotel ideal come rest beautiful roomscottages swimming pool garden well maintained clean delicious buffet breakfast fabulous view lake would recommend anyone,1
59,stayed three night two kid fabulous upstairs interconnecting room garden lovely furniture outside table chair hammock staff friendly helpful ended eating meal food though special absolutely fine pool area look little tired kept kid amused unfortunately last night impromptu tuneful singing going seeed like age would good staff asked stop pm,1
60,spent night ferry parapat go almost every hour cost thd rupias offered upgrade cottage close swimming pool good decision room quite big clean equipped refrigerator bathtub restaurant good price reasonable one thing would suggest improve availability food breakfast add selection ceralsand exchange cofee better maybe coffee machine rest good,1
61,place potential waterfront pool german bakery responsive attentive front desk staff alfon giat rest bit disappointing first evening dinner lacklusterguacamole tempeh sprout sounded like dream instead microgreens old brown bean sprout guac tasteless watery next deluxe room basic tolerable first floor second floor one seemed occupied shower part open roof bit cement kept dropping sheet small bed rock hard pillow mosquito buzzing ear night breakfast stale bread cold egg local cheese lassi tried ate elsewhere lunch dinner salad soup good enough,0
62,booked part tour delightful surprise set side lake tabo lovely garden swimming pool view tranquil stayed junior suite garden side room spacious well equipped spotlessly clean food restaurant lovely varied reasonably priced breakfast buffet freshly cooked egg omelette well bread fresh fruit would love stay,1
63,stayed four night deluxe room glad didnt go standard wouldnt wanted le fact envious hammock upstairs room although hotel attracts lot tourist remains tranquil ground good size dont feel crowded rarely loud right lake lovely swimming pool plenty outdoor seating option good wifi hot shower nice clean room food breakfast buffet one best wed experienced month indonesia lot option local western lunchdinner really enjoyed avocado lemon organic green salad simple good also great bread one favorite hangout place particularly,1
64,great place due good kind service clean nice location staff kind helpful swimming pool rest place near lake restaurant serf quite good food reasonable price seen accommodation changed carolina hotel place didnt regret moment nice place calm airco usual island fan acceptable cooling evening,1
65,loved stay tabo village staff helpful always find solution need weve booked junior suite spacious nice patio breakfast delicious one several eating option food restaurant good cook without spice chili garden swimmingpool area pleasant arrange transfer also organize activity weve chosen wd discovery tour worth specially one interested local culture tabo cottage owned german everything work thing organized clean local flavor value tradition best protect preserve piece paradise would love return u,1
66,tabo cottage located precisely edge toba lake fantastic panoramic fresh air blue toba lake made eye heart felt relax happy fatigue resulted hour driving medan prapat suddenly wiped spent night tabo cottage got recommended travel agent medan arranged trip every cottage made wood consist room room upper deck room ground room clean comfy aircon fan tv quietness peaceful night tabo cottage also please swimming pool place relax love sunbathing evening really enjoy cup coffee cafe quality meal good,1
67,came tabo cottage weekend trip lake toba location excellent view lake reminded much north italian lake resort well kept nicely done pool near lake plenty deck chair around sun others shade batak house next lake allows excellent view chilling near pool lawn area sit relax shade different type accommodation believe deluxe room clean cozy even veranda enjoyed excellent sleep staff friendly food pretty average choice variety dinner buffet breakfast rather limited,0
68,one feel place easily apparent tabo cottage much loved well kept view towards lake toba simply breathtaking im rather surprised see lady owner annette germany speaks proficient indonesian without hint accent shes hand rather surprised see busy work five morning annette warm moment saw puffy face eye first thing morning asked wanted real coffeethats called service toba cottage great lake front weather rather pleasant appropriate fan provided room room unlike corporate hotel got homely,1
69,f nice pool garden view pool area food nice brought dinner room returned long day sightseeing catered dietary requirement pleasant helpful staff bed comfortable fan accomodations north sumatra western style toilet room batak style nice authentic lake toba touch f room dark ladder loft middle room near bed annoying keep stepping around lot dead insect bathroom flying ant bed using lamp wall behind bed shower bath screencurtain water went everywhere,0
70,assigned dimly lighted room upper floor cottage style wooden structure made old material flooring made old wood plank aligned thus gap left floor careful drop small item gap close window day night guest could look room adjacent block hardly anything hotel night stay ended hanging coffee shop time staring one another perhaps hotel built purpose hang nothing nevertheless good place relaxation,1
71,hotel may well germany run german german really bad food thing worth eating hot chip tomato sauce room ridiculous window bedroom bathroom everyone could watch go toilet unfortunately keep window blind shut everyone else hotel could also see inside see toilet suspicious piece hand made art bed take wall hide looked like angry vgina room demolished first world war worse worst hicksville motel filthy,0
72,sure doesnt hurt take one best cottage really cottage since share building suite aside actually suite cottage veranda nice going cottage complex morning youll hit lovely smell btead baking bake bread go reception arearestaurant like different kind seating indoor outdoor room spacious lot traditional wood furniture ac rotating fan wall there pool right front lake also like lawn kidfriendly everybody nice helpful arrange transportation reception overall,1
73,stayed tabo night towards end trip around north sumatra room decent size bathroom open aired jungle theme huge showerhead hot water definitely one best bathroom day weve travelling restaurant food lovely great fish dish breakfast buffet bit low selection seems run pool ground fabulous beautiful flower amazing lakeside view pool swimming lake facial one evening well rather firm worth min lovely place come relax lot area walk around tuk tuk explore easy stay site relax pool,1
74,yard pool area really beautiful room clean bedding old outdated nice bathroom best fish dish travel hotel restaurant good breakfast,1
75,nice place stay nice staff creating wonderful ambience among batak style room stayed deluxe room near lake hammock balcony would recommend rather basic cheapest room like basic motel room away lake lake great view nice swimming pool batak designed house relax soak energy ancient place food good spa ok highlight great coffee serve german bakery real treat get great bread place like,1
76,wife stayed couple day tabo cottage good time friendly helpful staff everybody always happy help want find place visit island get booked batak villa room garden view unfortunately direct lake view nice spacious clean room make feel like travelling back time one traditional house area food delicious breakfast buffet alone make worth stay tabo cottage also brievely met annette owner kind give u lot information island lake perfect place spend good relaxed time lake toba head discover,1
77,perfect place staying samosir clean good toba lake view employee nice speak english informative guest stayed bataks traditional house roomvery pleasant,1
78,friend stayed night accommodation found clean calm nice atmosphere well tended rent double room deluxe nice bathroom comfortable living room toooo much space room enough backpack kitchen good outstanding despite clean tasty price bit higher outside even get gin tonic might sometimes good idea vacation really like mention friendly helpful stuff speak quite good even good english hosted u lovely way really enjoyed time feeling like smallnice open hotel usual backpacker stay bit,1
79,beautifully located property tropical garden path leading lake toba swimming pool beach next lake perfect setting drink food delivered extremely friendly staff nice big room lodge nearest reception area dining room wifi room nice bathroom excellent food indonesian european gorgeous dessert german bakery near entrance many comfortable place apart dining room sit lounge lucky offseason would like julyaugust,1
80,ground alive inviting lodge perfectly designed outdoor relaxing socializing quiet time lounge restaurant cozy feel stayed room terrace plenty room sit read room clean tastefully decorated natural furnishing outlet room plentiful strategically placed perfect charging camera device staff great free wifi,1
81,room clean bottled water one bath towel face cloth located right lake also swimming pool garden place sit relax afternoon tea muffin stale peppermint tea awful staff friendly cater western food spicy average dinning room large open area roof pleasant take ferry get hotel,1
82,agree review expected price moment write sit balcony nice view sea mountain garden someone handle noisy cutting machine left side hear noise housework like sewing hammering breakfast around low warm coffee tea cold scrumbled egg rest breakfast sookay eaten large ad loud american tourist group staff didnt clean table ourself watch uswhy girl wich asked room number didnt help u deluxe room spacey clean safe old cupboard close key wich would easy open go island expect,0
83,without doubt tabo cottage best place stay samosir island prime location convenient transport good service huge area occupied resort designed well everyone find something viewing platform swimming pool mini cottage perfect drink relaxing shadow child facility bakery restaurant maintained well run efficiently enjoyed lunch evening meal incl wonderful fruit tea ground coffee cocktail strongly recommend try restaurant menu esp price seem reasonable staff always smiley greeted u occasion owner junior suite comfortable nice terrace huge double bed cooling,1
84,review accurate say one best part recent trip se asia around make comment follows staff excellent service prior leaving trip corresponded giat alfon quite extensively unsure travel arrangement responded quickly good information rest staff helpful respectful made stay enjoyable able make arrangement car leaving parapat avoid annoyance tour company tigaraja harbour location number restaurant shop close cottage made thing convenient also ferry parapat stop right jetty make thing easy moped rental place,1
85,place gorgeous away crowd yet within walking distance many eatery staff friendly ever eager help room basic sufficient loved every room balcony chair sit soak view lakeside pool gazebo overlooking massive lake nice touch german bakery within hotel ground cake delicious garden lovely well plenty place sit cup local coffee relax overall absolute gem place oh yes every room hot water would want return,1
86,place lovelyfrom lakefront pool cozy nook cranny sit coffee good book lovely staff service impeccable lot nice little touch amenity available like sameday laundry spa treatment site loved traditional architecture room felt like private cottage batak villa room came sumatra famous coffeeand fact tabo cottage roast sell bean make great coffee big plus weve enjoying ever since location also quite nice walk nearby spot checked batak dancing bagus bay one evening went restaurant nearby food drink option tabo cottage best nice,1
87,family spent day beautiful quiet cottage view toba lake cottage priceless food restaurant super delicious ordered batakstyle grilled fish dinner best food holiday north sumatra,1
88,spent night tabo cottage could happier staff incredibly polite accommodating always answer question annette one owner run tight ship seen work ethic employee especially impressed layout landscaping resort couldnt inviting comfortable mention food always amazing hardly needed venture restaurant place always delivered culinary front looking place stay samosir island look found lodging right,1
89,stayed night christmas batak villa room spacious clean whole resort well maintained bed comfortable personally mattress pillow rock solid would expect indonesian island living electricity water pressure consistent room fan came overnight wait min shower twice major issue tabo hot water note pay extra convenience booking transfer activity hotel paid idr one way transfer medan hour idr downhill cycle tour quite expensive considering drive top island min,1
90,try batak villa favorite room tabo extra room bring child second floor sofa clean bathtub hammock also favourite highlight tabo cottage food good price affordabletry herbal home made drink service good significantly better foreign tourist instead local people like overall service great compare place location email reservation call directly help fast reservation proceed,1
91,took u hour car medan airport range k k idr another minute ferry k idr tiga raja get intend visit aware okay lovely place stay perfect relax tabo cottage situated right shore samosir island pretty well run staff food pretty good happy lounge around hotel ground read relax without venturing food issue lighting iin cottage staff sorted pretty quickly first picture daybreak captured land meet water,1
92,nice small resort clean room good soundproofed hear neighbor room beside outside terrace good food mixed europeanasian breakfast friendly helpful staff front office restaurant menu restaurant need facelifting german bakery front supply restaurant plus nice buffet dinner live music week,1
93,pro one best resort style stay island could see walking around definitely best pool amazing lake view bakery looked nice could see baked site restaurant decent pricey overall k per dish really good selection coffee although definitely try island restaurant theyre great staff helpful particularly front desk question provide towel pool also promptly swapped room fan broke traditional oil massage really well done par best experience regret trying earlier stay idr min oil massage body scrub package desktop computer printer available use helpful,1
94,stayed night batak villa room booked room advance email correspondence flawless coming boat parapat boat stop resort jetty quickly taken care member staff checkin fast soon enjoying room second floor villa terrace overlooking tabo cottage ground hammock relaxing swing room large big bed nice furniture fan wall big mirror clothes hanger lot place put stuff tv hey youre relax wifi good ensuite bathroom also large bathtub clean western toilet big mirror washbasin lot place put cosmetic especially appreciate aspect,1
95,night everything fantastic staff friendly helpful food delicious breakfast perfect bread bakery also coffee delicious pool nice perfect hang around facility standard room spacy clean shower good massage bit unprofessional unstructured beside beautiful stay beautiful resort lake toba highly recommended keep going like tabo team,1
96,prebooked uk lovely welldesigned room exceptional balcony comfortable bed although pillow bit brick hot water shower shave always indonesia staff welcoming charming helpful thought food average amenity excellent place spotless,1
97,finding accommodation around lake toba tricky couldnt expect modern resort stay samosir island seeing many good review hotel tripadvisor decided give go turn great alfon helped u efficient check coffee lover surprised see roasting machine lobby several great coffee choice bad missed peaberry one bring hone u got traditional ambience batak villa villa mezzanine level extra bed located hammock great relaxing enjoying view toba direct access swim lake sort natural infinity pool lakeside restaurant another great experience,1
98,stayed two day relaxing hotel consists lovely cottage scattered nice garden lake around central area restaurant bar room spacious mosquito net patio terrace armchair hammock armchair inside room bathroom large water cold lukewarm toiletry hair dryer incredibly wifi work everywhere common area work well decent swimming pool easy chair towel restaurant choice european asian dish breakfast buffet style average service good people kind friendly making restructuring place strongly smelled chemical course wont last,1
99,mid range still moderately priced happy stay room without view breakfast terrific pool great kid sublime view friendly helpful staff food little pricey excellent bakery pastry fiend,1
100,favorite stay around small hotel private service fish vegetable curry favorite breakfast quiet westernized nice relax cottage next pool lakewards hotel room spacious even ac still breeze,1
101,waited month get toba tabo cottageroom room property batak design worth wait general cottagesroom good location view fantastic booked suite room spotless cleanliness star room seem newly builtrenovated bathroom work well new restaurant best tried another restaurant supposed best according trip advisor got disappointed eat tabo cottage need go anywhere else pool cleaned everyday could stay property day long without getting bored scenery breathtaking definitely come back,1
102,stayed night lovely hotel samosir island lake toba room type batak villa opposite receptionrestaurant area two level could sleep people comfortably room spacious large balcony hammock terrace added luxury wifi reception excellent hotel restaurant wide variety dinner excellent reasonably priced breakfast great ground lovely nice swimming pool staff friendly hotel ideally situated explore samosir island car scooter bike found excellent value highly recommendable,1
103,im grateful team tabo cottage helped recover broken foot kind helpful dont know would manage well without place beautiful room spacious nice bathroom food really tasty especially breakfast worth mentioning impressive selection seen long time everyone professional dont think could asked better place end straight accident,1
104,place two star good enough ok tv fridge probaly reason doesnt four staff friendly food top restaurant whole day open room clean nice little place sit outside view room swimming pool nice need say,1
105,wonderful relaxing spot lake toba batak villa sleep four nice double room near swimming pool restaurant staff friendly always available food drink good reasonable price manager annette h run efficient beautiful resort knowledgeable helpful tour travel occasional special buffet music performance add enjoyment,1
106,highly recommend tabo cottage cottage nice view lake special authentic design detail well thought pleasure stay food excellent particular breakfast great service top,1
107,nice resort friendly staff high quality spacious room hot water en great view lake room also pool organize tour island found relaxing stay trekking camping jungle,1
108,recommended resort travel agency fun sumatra travel tour value money hotel resort spa located along bank lake toba operated german lady owner married local booked tour transport access hotel via water ferry make stop resort breakfast served americaneuropean dish well local item like fried rice local fruit visitor keen water activity rent water jet ski take ride provided water recreation facility provided resort next resort resort exuberates place peace tranquility wish get away madding world ideal place relax,1
109,tabo cottage good place stay tuk tuk probably upmarket place area even cheapest room nice provide enough space terrace breakfast meet expectation poor fir type accommodation staff really friendly neither owner customer oriented experience place could much better little effort,0
110,stay family people wife son year old year old daughter year old stay batak villa unique room although indonesian never stay kind ethnique room also many bed queen bed single bed even didnt use single bed room spacious clean fan air conditioning need air conditioning also weather cold floor second floor queen bed balcony nice also swing bed relaxing watching view lake toba unluckily room didnt kettle glass compliment water drink must go restaurant take best part hotel restaurant big garden,1
111,stayed cottage night first impression came hotel big well maintained garden compared several hotel surveyed around tuk tuk beautiful swimming pool garden near lake side view pool lake beautiful water high cliff toba rim background every room cottage around garden hammock hanging front door overall nice place relax bad experience bed next day morning found skin including daughter leg small bump itchy bump itchy lasted week go guess caused kind insect bed reference stayed,0
112,fabulous place beautiful pool garden offered upgrade got batak vila nicely decorated room disadvantage night stayed could eat supper à la carte day would opt fixed buffet overall definitely would recommend place nice location well maintained room,1
113,really nice couple day twin room garden swimming pool beautiful lake view breakfast plentiful really nice bakery food good value wish id longer peaceful place rest stare view,1
114,stayed tabo cottage day totally enjoyed peaceful place healthy food great choice vegetarian excellent room condition well daily cleaning would totally recommend friend owner german lady great job keeping high standard,1
115,tabo cottage located samosir lake toba village tuk tuk cottage build batakstyle spacious cosy clean service good staff helpfull en kind swimming pool located lake also swim lake restaurant tabo cottage also good rent bike cano everything perfectly organised reception restaurant room bathroom partly open roof nice good know atm next village tomok,1
116,toba cottage resort nice several room big garden swimming pool nice view lake toba junior suite room nice point improvement noise minibar add safe deposit staff friendly would better would serve food one time however least much time unfortunately night party de surrounding resort music extremely loud take away atmosphere couldnt sleep ok party stopped midnight really destroyed peaceful atmosphere resort another drawback jet ski lake made hard swim last two reason wont return samosir,0
